property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,store room,pooja room,furnishing_type,luxury_category,floor_category
flat,bodakdev,3.53,4,4,1,Under Construction,3270.0,1,1,unfurnished,High,High Floor
flat,shela,0.62,3,3,2,Relatively New,917.0,0,1,unfurnished,High,Mid Floor
flat,motera,0.41,2,2,1,Relatively New,972.0,0,0,unfurnished,Not available,Low Floor
flat,charodi,1.66,4,4,2,Under Construction,3015.0,1,1,unfurnished,High,Mid Floor
flat,jagatpur,0.6,3,3,2,Relatively New,1054.0,1,0,unfurnished,Medium,Mid Floor
house,shahibaug,2.5,8,5,0,Old Property,4000.0,0,0,unfurnished,Not available,Low Floor
flat,bodakdev,0.65,2,2,1,Old Property,975.0,0,0,furnished,Low,Low Floor
flat,vastral,0.38,2,2,3,Relatively New,1224.0,0,1,unfurnished,Low,Mid Floor
house,bodakdev,9.5,4,5,2,Moderately Old,4914.0,1,1,semifurnished,Medium,Low Floor
flat,motera,1.63,3,3,1,Moderately Old,1842.0,0,1,semifurnished,High,Mid Floor
flat,south bopal,0.95,3,3,2,Moderately Old,1557.0,0,0,furnished,Medium,Mid Floor
flat,paldi,0.78,2,2,1,Old Property,1215.0,0,0,unfurnished,Low,Low Floor
flat,maninagar,0.3,2,2,1,Under Construction,830.0,0,0,unfurnished,Not available,Mid Floor
flat,satellite,3.36,4,4,2,Under Construction,3950.0,0,1,unfurnished,High,Mid Floor
flat,maninagar,0.91,3,3,3,Relatively New,1845.0,0,1,unfurnished,Low,Mid Floor
flat,odhav,0.35,2,2,1,Moderately Old,584.0,0,0,unfurnished,Not available,Mid Floor
flat,vastral,0.24,1,1,0,Moderately Old,675.0,0,0,unfurnished,Not available,Low Floor
flat,koteshwar,0.41,2,2,2,Old Property,1189.0,0,0,furnished,Medium,Low Floor
flat,bodakdev,2.02,4,4,1,Under Construction,3498.0,1,0,unfurnished,Medium,Low Floor
house,nava naroda,0.65,2,1,1,Old Property,1123.5,0,0,unfurnished,Not available,Low Floor
flat,naroda,0.16,1,2,0,Relatively New,600.0,0,0,unfurnished,Low,Mid Floor
flat,prahlad nagar,0.75,2,2,2,Moderately Old,1050.0,0,0,unfurnished,Not available,High Floor
flat,new maninagar,0.65,3,3,3,Old Property,2118.0,0,0,furnished,Low,Low Floor
flat,naroda,0.15,1,2,0,Relatively New,560.0,0,0,unfurnished,Low,Mid Floor
flat,motera,1.75,4,4,1,Relatively New,2548.0,1,0,unfurnished,Medium,Mid Floor
house,vastral,0.5,4,3,2,Old Property,1125.0,0,0,unfurnished,Not available,Low Floor
flat,nikol,0.39,2,2,1,New Property,1008.0,0,0,unfurnished,Low,Mid Floor
flat,paldi,0.7,2,2,1,Relatively New,869.0,0,0,semifurnished,Medium,High Floor
flat,nava naroda,0.46,2,2,1,Relatively New,1482.0,0,1,furnished,Medium,Low Floor
flat,maninagar,0.4,2,2,2,Old Property,1059.0,0,0,furnished,Low,Mid Floor
flat,nava naroda,0.37,3,3,2,Relatively New,1224.0,0,0,unfurnished,Medium,Low Floor
house,south bopal,4.75,4,5,2,Moderately Old,4590.0,1,1,semifurnished,Medium,Mid Floor
flat,science city,2.06,3,3,1,Relatively New,2475.0,1,1,furnished,Medium,Mid Floor
flat,vaishnodevi circle,0.49,2,2,2,Relatively New,802.0,0,0,unfurnished,Low,Mid Floor
house,thaltej,2.5,4,3,1,Old Property,1908.0,0,0,unfurnished,Not available,Low Floor
flat,new ranip,0.7,3,4,1,Old Property,1728.0,1,0,unfurnished,Medium,Mid Floor
house,ghuma,0.95,4,4,0,Moderately Old,2024.0,0,1,semifurnished,Low,Low Floor
flat,bodakdev,3.75,4,4,2,Under Construction,3535.0,1,0,unfurnished,Medium,High Floor
flat,bodakdev,4.83,4,4,2,Under Construction,4660.0,1,0,unfurnished,Medium,Mid Floor
house,khokhara,0.55,2,2,1,Old Property,2950.0,0,0,unfurnished,Low,Low Floor
flat,sg highway,1.23,3,3,1,New Property,1801.0,0,0,unfurnished,Not available,Low Floor
flat,jagatpur,0.63,3,3,1,Relatively New,1085.0,0,1,unfurnished,Medium,Mid Floor
flat,shela,1.3,3,3,1,Relatively New,1527.0,0,0,unfurnished,High,Mid Floor
flat,gota,0.8,3,3,2,Moderately Old,2000.0,0,1,unfurnished,Low,Low Floor
flat,south bopal,0.7,3,2,1,Relatively New,860.86,1,1,unfurnished,Medium,Low Floor
house,shilaj,7.5,5,5,2,Old Property,5400.0,1,1,unfurnished,Medium,Low Floor
flat,south bopal,0.82,3,3,1,Moderately Old,1328.0,1,1,unfurnished,Medium,Low Floor
flat,shela,0.48,2,2,0,Under Construction,1276.0,0,0,unfurnished,Medium,High Floor
flat,maninagar,0.45,2,2,2,Old Property,1350.0,0,1,unfurnished,Low,Low Floor
flat,bodakdev,1.6,3,3,1,Under Construction,1935.0,0,0,unfurnished,Not available,Mid Floor
flat,maninagar,0.28,1,1,1,Relatively New,538.0,1,0,unfurnished,Medium,High Floor
flat,science city,1.41,3,3,1,Under Construction,2457.0,1,1,unfurnished,Medium,Mid Floor
house,maninagar,3.8,5,4,3,Old Property,2835.0,0,0,unfurnished,Not available,Low Floor
flat,chandkheda,0.68,3,3,3+,Moderately Old,1281.0,0,0,semifurnished,High,Mid Floor
house,naroda,4.5,5,5,1,Relatively New,5229.0,0,0,unfurnished,Not available,Low Floor
flat,usmanpura,0.54,2,2,3,Old Property,1125.0,0,0,unfurnished,Not available,Low Floor
flat,memnagar,0.76,3,3,1,Relatively New,986.0,0,1,unfurnished,Medium,Low Floor
flat,shela,1.41,4,4,1,Relatively New,2145.0,1,0,unfurnished,Medium,Mid Floor
flat,south bopal,2.01,4,4,3+,New Property,3200.0,0,1,semifurnished,Low,Mid Floor
flat,jagatpur,0.87,3,3,2,Relatively New,1700.0,1,1,unfurnished,High,Mid Floor
flat,science city,0.82,2,2,1,Relatively New,1079.0,0,0,unfurnished,Low,Low Floor
flat,nava naroda,0.31,2,2,2,Moderately Old,954.0,0,0,furnished,Low,Mid Floor
flat,new ranip,0.55,2,2,3,Moderately Old,1440.0,0,0,unfurnished,Low,Low Floor
house,chandkheda,2.6,4,4,1,Relatively New,3600.0,1,0,unfurnished,Medium,Mid Floor
flat,gota,0.75,3,2,2,Old Property,1620.0,1,0,semifurnished,Low,Mid Floor
flat,gota,1.05,3,3,1,Relatively New,1800.0,1,1,unfurnished,High,Mid Floor
flat,satellite,1.68,3,3,1,Under Construction,2317.0,1,0,unfurnished,Medium,Mid Floor
flat,chandkheda,0.8,3,3,2,Moderately Old,1845.0,0,0,furnished,Low,Mid Floor
flat,narol,0.15,1,1,1,Moderately Old,529.0,0,0,unfurnished,Low,Mid Floor
flat,chandkheda,1.47,4,4,1,Under Construction,2825.0,1,1,unfurnished,High,High Floor
house,shela,9.0,4,4,1,Moderately Old,9900.0,1,1,unfurnished,Low,Low Floor
flat,shela,0.42,2,2,0,Relatively New,925.0,0,0,unfurnished,Not available,High Floor
flat,thaltej,3.25,4,4,1,Moderately Old,2846.0,0,0,unfurnished,Medium,Low Floor
flat,jagatpur,0.62,3,3,2,Relatively New,1085.0,0,1,unfurnished,Medium,Mid Floor
flat,gota,0.58,2,2,1,Relatively New,1324.0,0,0,furnished,Low,Low Floor
flat,satellite,6.63,5,5,1,New Property,5097.0,1,1,unfurnished,Medium,Low Floor
flat,maninagar,1.1,3,2,3+,Old Property,2075.0,0,0,unfurnished,Low,Low Floor
flat,vastrapur,1.45,3,3,1,Relatively New,1382.0,0,0,unfurnished,Low,Mid Floor
flat,shela,0.44,2,2,1,New Property,1302.0,0,0,unfurnished,Medium,Mid Floor
flat,gota,0.74,3,3,0,Relatively New,1400.0,1,1,unfurnished,High,Mid Floor
flat,paldi,1.35,3,3,2,New Property,1881.0,1,0,unfurnished,Medium,Mid Floor
flat,vatva,0.29,2,2,2,Relatively New,1035.0,0,0,unfurnished,Low,Mid Floor
flat,south bopal,0.6,2,2,1,Relatively New,924.0,0,0,unfurnished,Medium,Mid Floor
flat,gota,0.5,2,2,1,New Property,1046.0,0,0,unfurnished,Medium,Mid Floor
house,vastral,1.1,3,3,3,Relatively New,1260.0,0,1,semifurnished,Low,Low Floor
flat,bapunagar,0.45,2,2,3,Old Property,1023.0,0,0,unfurnished,Medium,Mid Floor
flat,jagatpur,0.29,1,1,1,Relatively New,550.0,0,0,furnished,Medium,Mid Floor
flat,south bopal,0.7,3,3,1,New Property,1191.0,0,0,unfurnished,Medium,Low Floor
flat,nikol,0.25,1,1,0,Moderately Old,805.0,0,0,unfurnished,Low,Low Floor
flat,paldi,0.8,3,3,0,Old Property,1440.0,0,0,unfurnished,Low,Low Floor
flat,science city,2.48,4,4,1,Under Construction,2493.0,1,1,unfurnished,Medium,Mid Floor
house,shilaj,5.25,4,4,0,Moderately Old,2934.0,0,0,unfurnished,Not available,Low Floor
house,naranpura,4.0,5,4,3+,Moderately Old,3500.0,0,0,unfurnished,Not available,Low Floor
flat,shela,0.8,3,3,1,Relatively New,1292.0,0,1,unfurnished,Medium,Mid Floor
house,vatva,0.52,3,2,2,Relatively New,1440.0,0,0,unfurnished,Low,Mid Floor
flat,south bopal,0.73,3,3,1,Relatively New,1104.0,1,0,unfurnished,Medium,Mid Floor
house,isanpur,0.36,1,1,1,Old Property,675.0,0,0,unfurnished,Not available,Low Floor
flat,south bopal,2.01,4,5,1,Moderately Old,2651.0,1,1,furnished,High,High Floor
flat,ghuma,0.47,2,2,3,Moderately Old,1182.0,1,0,furnished,Medium,Low Floor
flat,ghuma,0.46,2,2,1,Under Construction,1260.0,0,0,unfurnished,Not available,Low Floor
flat,chandkheda,1.06,3,3,2,Relatively New,2250.0,0,0,unfurnished,Not available,Low Floor
flat,narol,0.2,2,2,2,Relatively New,1035.0,0,0,unfurnished,Low,Mid Floor
flat,vastral,0.24,1,2,2,Relatively New,622.0,0,0,unfurnished,Not available,Mid Floor
flat,maninagar,1.3,5,4,2,Old Property,2647.0,0,0,semifurnished,Low,Low Floor
flat,narol,0.2,2,2,1,Old Property,1176.0,0,0,unfurnished,Low,Low Floor
house,vastral,1.25,3,3,1,Relatively New,900.0,0,0,unfurnished,Not available,Low Floor
flat,new ranip,0.65,3,3,3,Relatively New,1800.0,0,0,unfurnished,High,Mid Floor
flat,naroda,0.23,2,2,1,Relatively New,527.0,0,0,unfurnished,Not available,Mid Floor
flat,sola,0.96,3,3,2,Relatively New,1530.0,0,0,semifurnished,Medium,Mid Floor
flat,maninagar,0.27,1,1,0,Old Property,631.0,0,0,unfurnished,Not available,Mid Floor
house,shela,6.15,4,4,1,Relatively New,3798.0,1,0,semifurnished,Medium,Low Floor
flat,vastral,0.45,2,2,3,Moderately Old,1197.0,0,0,unfurnished,Not available,Mid Floor
flat,naroda,0.3,2,1,1,Moderately Old,990.0,0,0,unfurnished,Not available,Low Floor
flat,chandkheda,0.95,3,3,2,Relatively New,1584.0,1,1,furnished,Medium,High Floor
flat,satellite,0.55,2,2,2,Moderately Old,1035.0,0,0,unfurnished,Not available,Mid Floor
flat,vastral,0.27,2,2,1,Relatively New,859.0,0,0,unfurnished,Low,Mid Floor
flat,paldi,0.6,2,2,1,Relatively New,876.0,0,0,unfurnished,Low,Mid Floor
flat,gota,0.5,2,2,2,Relatively New,1000.0,0,1,semifurnished,High,Mid Floor
flat,chandkheda,0.42,2,2,2,Moderately Old,953.0,0,0,furnished,Medium,Low Floor
flat,science city,2.12,4,4,1,Under Construction,2097.0,1,1,unfurnished,Medium,Mid Floor
house,isanpur,1.05,5,5,0,Old Property,2000.0,0,0,unfurnished,Not available,Low Floor
house,chandlodia,0.35,2,2,1,Old Property,900.0,0,0,unfurnished,Not available,Low Floor
flat,narol,0.3,2,2,1,Relatively New,1170.0,0,0,unfurnished,Low,Mid Floor
flat,south bopal,0.6,2,2,1,Moderately Old,900.0,1,1,furnished,High,High Floor
flat,gota,0.59,2,2,1,New Property,1413.0,0,0,unfurnished,Low,Low Floor
flat,science city,0.95,3,3,2,Moderately Old,1710.0,1,0,unfurnished,Medium,Mid Floor
flat,gota,1.04,3,3,1,Relatively New,1635.0,1,0,unfurnished,Medium,High Floor
flat,memnagar,0.65,2,2,1,Moderately Old,1080.0,0,1,unfurnished,Medium,Mid Floor
flat,ghatlodia,1.05,3,3,2,Old Property,1998.0,0,0,unfurnished,Medium,Low Floor
house,new ranip,1.49,3,2,1,Old Property,2080.08,0,0,unfurnished,Not available,Low Floor
flat,naroda,0.3,2,2,0,New Property,990.0,0,0,unfurnished,Not available,Low Floor
house,bapunagar,1.25,3,4,1,Old Property,2089.0,0,1,furnished,Not available,Low Floor
house,south bopal,2.3,3,3,2,Moderately Old,2385.0,1,1,furnished,High,Low Floor
flat,vaishnodevi circle,0.72,3,2,0,Moderately Old,1232.0,0,0,furnished,Medium,Low Floor
flat,gota,0.65,3,3,0,Relatively New,1039.0,0,1,unfurnished,Medium,Mid Floor
flat,narol,0.23,2,2,2,New Property,1098.0,0,0,semifurnished,Medium,Mid Floor
flat,bodakdev,0.7,2,2,1,Old Property,1412.0,0,0,semifurnished,Not available,Mid Floor
flat,new ranip,0.45,2,2,1,Old Property,886.0,0,0,furnished,Low,Mid Floor
flat,sola,1.42,2,2,0,Relatively New,2268.0,0,0,unfurnished,Not available,Mid Floor
house,shela,5.25,4,5,1,Relatively New,3798.0,1,1,semifurnished,High,Low Floor
flat,chandkheda,0.43,2,2,2,Moderately Old,896.0,0,0,unfurnished,Low,Low Floor
flat,satellite,3.21,4,4,3+,New Property,2260.0,0,0,unfurnished,Medium,Low Floor
flat,south bopal,0.65,3,3,1,Under Construction,1191.0,0,1,unfurnished,High,Mid Floor
flat,nikol,0.5,2,2,1,Moderately Old,1588.0,0,0,unfurnished,Medium,Mid Floor
flat,south bopal,0.67,3,3,1,New Property,1232.0,0,1,unfurnished,Medium,Mid Floor
house,shilaj,10.0,5,4,3+,Relatively New,7729.0,1,1,unfurnished,High,Low Floor
flat,chandkheda,0.6,3,3,1,Relatively New,1044.0,1,1,unfurnished,Medium,High Floor
flat,nikol,0.37,2,2,1,Relatively New,994.0,0,0,unfurnished,Medium,Mid Floor
flat,naroda,0.38,2,2,1,New Property,1105.0,0,0,unfurnished,Not available,Mid Floor
flat,vastrapur,0.75,3,2,1,Old Property,1429.0,0,0,unfurnished,Low,Mid Floor
flat,shela,0.41,2,2,0,Relatively New,1007.0,1,1,unfurnished,High,Mid Floor
flat,science city,1.05,3,3,1,Moderately Old,1800.0,1,0,furnished,Medium,Low Floor
flat,south bopal,0.65,3,3,2,Relatively New,1300.0,1,0,unfurnished,High,Mid Floor
flat,koteshwar,0.9,3,3,2,Moderately Old,1810.0,0,0,furnished,Low,Mid Floor
flat,shela,0.48,3,3,1,Relatively New,1340.0,0,0,unfurnished,Medium,Mid Floor
flat,jodhpur,5.25,4,4,3,Moderately Old,5310.0,1,1,semifurnished,High,High Floor
flat,shela,0.92,3,3,1,Relatively New,1671.0,1,0,unfurnished,Medium,Mid Floor
flat,satellite,2.12,4,4,1,Relatively New,2264.0,1,0,unfurnished,Medium,Mid Floor
flat,south bopal,0.68,3,3,1,Under Construction,1329.0,1,1,unfurnished,High,Mid Floor
flat,south bopal,1.47,3,3,1,Moderately Old,2488.0,0,0,semifurnished,High,Low Floor
house,isanpur,1.5,4,2,1,Old Property,1600.0,0,1,unfurnished,Not available,Low Floor
house,naroda,0.35,4,2,1,Moderately Old,1500.0,0,0,unfurnished,Not available,Low Floor
flat,gurukul,0.65,2,2,3,Old Property,1134.0,0,0,semifurnished,Low,Low Floor
flat,jagatpur,0.57,3,2,1,Under Construction,828.0,0,0,unfurnished,High,Low Floor
house,maninagar,3.51,6,4,3,Moderately Old,3588.0,0,1,semifurnished,Not available,Mid Floor
flat,south bopal,0.75,3,3,1,Under Construction,1411.0,1,0,unfurnished,Medium,Low Floor
flat,gota,0.75,3,3,1,Relatively New,1611.0,0,0,unfurnished,Low,High Floor
flat,bodakdev,2.6,4,4,3,Old Property,3420.0,1,0,unfurnished,Medium,Mid Floor
house,shela,8.85,5,5,2,Under Construction,8595.0,1,1,unfurnished,High,Low Floor
flat,shela,0.32,1,2,0,Relatively New,721.0,0,0,unfurnished,Low,Mid Floor
house,prahlad nagar,5.25,4,4,1,Relatively New,3249.0,0,0,unfurnished,Low,Low Floor
flat,south bopal,0.45,2,2,1,Under Construction,973.0,1,1,unfurnished,High,Mid Floor
flat,vaishnodevi circle,0.86,3,3,1,Relatively New,1735.0,0,0,unfurnished,Medium,Mid Floor
house,thaltej,8.0,4,4,1,Old Property,4275.0,1,0,furnished,Medium,Low Floor
flat,jagatpur,1.09,3,3,1,New Property,1188.0,1,1,unfurnished,Medium,High Floor
flat,gota,0.64,3,3,0,Relatively New,1039.0,0,1,unfurnished,Medium,Mid Floor
flat,gota,0.4,2,2,2,Moderately Old,918.0,1,0,unfurnished,Medium,Low Floor
flat,nava naroda,0.34,2,2,1,New Property,1345.0,0,0,unfurnished,Low,Low Floor
flat,south bopal,0.59,2,2,1,Relatively New,924.0,0,1,unfurnished,High,Mid Floor
flat,gota,1.25,3,3,3,Moderately Old,3627.0,1,0,furnished,Medium,Mid Floor
flat,naroda,0.17,1,1,2,Relatively New,598.0,0,0,unfurnished,Low,Low Floor
flat,maninagar,0.35,2,1,2,Moderately Old,627.0,0,0,unfurnished,Not available,Low Floor
flat,isanpur,0.45,2,2,2,Moderately Old,631.0,0,0,furnished,Low,Mid Floor
flat,gota,1.31,3,3,1,Relatively New,1253.0,0,0,unfurnished,Not available,High Floor
flat,motera,0.94,3,3,2,Moderately Old,2054.0,1,0,semifurnished,Medium,Mid Floor
flat,naranpura,0.63,3,2,2,Relatively New,1245.0,0,0,unfurnished,Not available,Low Floor
flat,shela,1.11,3,3,1,Relatively New,1671.0,1,0,unfurnished,Medium,High Floor
flat,jagatpur,0.5,2,2,2,Moderately Old,938.0,0,0,unfurnished,Medium,High Floor
house,science city,3.85,3,3,3,Old Property,2912.0,1,1,semifurnished,High,Low Floor
flat,jagatpur,0.46,2,2,2,Relatively New,952.0,1,0,furnished,Medium,Mid Floor
flat,jagatpur,0.5,2,2,0,New Property,765.0,0,0,unfurnished,Low,Low Floor
flat,charodi,1.7,4,4,1,Under Construction,2000.0,1,1,unfurnished,High,Mid Floor
flat,south bopal,0.78,3,2,3+,Moderately Old,1237.0,0,0,unfurnished,Medium,Mid Floor
house,shela,4.5,4,4,2,Moderately Old,2880.0,1,1,semifurnished,High,Mid Floor
house,shela,1.25,3,3,1,Moderately Old,1975.0,0,0,unfurnished,Not available,High Floor
flat,south bopal,0.85,3,3,1,Relatively New,1125.0,1,0,semifurnished,High,Mid Floor
house,odhav,0.35,1,2,0,Moderately Old,810.0,0,0,unfurnished,Not available,Mid Floor
flat,south bopal,0.45,2,2,1,Under Construction,940.0,1,0,unfurnished,Medium,Mid Floor
flat,vastral,0.7,3,3,2,Relatively New,2043.0,0,0,unfurnished,Low,Mid Floor
flat,chandkheda,0.9,3,3,1,New Property,1509.0,0,0,unfurnished,Not available,High Floor
flat,naranpura,0.41,1,1,0,Old Property,630.0,0,0,furnished,Low,Low Floor
flat,vatva,0.16,2,2,2,Moderately Old,765.0,0,0,unfurnished,Medium,Low Floor
flat,jagatpur,0.55,2,2,1,Under Construction,838.0,1,0,unfurnished,High,High Floor
flat,south bopal,0.55,2,2,0,Moderately Old,800.0,0,0,unfurnished,Low,Mid Floor
flat,south bopal,0.59,2,2,1,Relatively New,850.0,0,0,semifurnished,Medium,Mid Floor
flat,charodi,0.6,2,2,0,New Property,1088.0,0,0,unfurnished,Not available,Mid Floor
flat,south bopal,0.68,3,3,1,Relatively New,1150.0,1,0,unfurnished,Medium,Mid Floor
flat,chandkheda,2.25,4,4,1,Relatively New,2400.0,1,1,unfurnished,Medium,Low Floor
flat,jagatpur,0.5,2,2,1,Relatively New,847.0,0,1,unfurnished,Medium,Mid Floor
house,bodakdev,3.75,4,4,1,Moderately Old,2295.0,1,1,semifurnished,Medium,Low Floor
flat,gota,0.52,2,2,2,Relatively New,1300.0,1,1,unfurnished,High,Mid Floor
flat,satellite,0.4,2,2,1,Old Property,765.0,0,0,semifurnished,Medium,Mid Floor
flat,gota,0.55,2,2,1,Under Construction,794.0,0,0,unfurnished,Medium,High Floor
house,science city,3.1,3,3,1,Moderately Old,2250.0,1,1,semifurnished,Medium,Low Floor
flat,south bopal,0.55,2,2,0,Relatively New,885.0,1,0,unfurnished,Medium,High Floor
house,science city,6.11,4,4,3,Relatively New,5760.0,0,1,unfurnished,Medium,Mid Floor
flat,nava naroda,0.28,2,2,2,Moderately Old,1125.0,0,1,furnished,Low,Mid Floor
house,thaltej,4.1,4,4,1,Moderately Old,2025.0,1,1,semifurnished,Medium,Low Floor
flat,satellite,3.5,4,4,2,Moderately Old,3050.0,0,0,semifurnished,Low,Mid Floor
flat,maninagar,0.75,3,3,1,Old Property,1600.0,0,0,unfurnished,Low,Low Floor
house,ghuma,1.35,3,3,0,Moderately Old,1620.0,0,0,unfurnished,Not available,Low Floor
house,vasna,1.2,4,2,3,Old Property,4050.0,0,0,unfurnished,Low,Mid Floor
